"cid","Name","MinValue","MaxValue","AvgValue","year","chamber","Origin","Source"
"N00007017","Darrell Issa (R-Calif)","135862098","677230000","406546049","2005","H","Center for Responsive Politics",""
"N00004309","Herb Kohl (D-Wis)","274018029","354578999","314298514","2005","S","Center for Responsive Politics",""
"N99999962","Henry M. Paulson","190727081","392930017","291828549","2005","E","Center for Responsive Politics",""
"N00006750","Jane Harman (D-Calif)","170001654","294795002","232398328","2005","H","Center for Responsive Politics",""
"N00000245","John Kerry (D-Mass)","162691416","247712081","205201748","2005","S","Center for Responsive Politics",""
"N00009945","Jon S. Corzine (D-NJ)","67147043","248830000","157988521","2005","S","Center for Responsive Politics",""
"N99999986","William H. Donaldson","46306123","191390002","118848062","2005","E","Center for Responsive Politics",""
"N99999981","Donald H. Rumsfeld","57039093","174710000","115874546","2005","E","Center for Responsive Politics",""
"N99999977","Samuel W. Bodman III","66548052","117320000","91934026","2005","E","Center for Responsive Politics",""
"N00001685","Jay Rockefeller (D-WVa)","53650022","126079000","89864511","2005","S","Center for Responsive Politics",""
"N99999987","John W. Snow","39800037","109075001","74437519","2005","E","Center for Responsive Politics",""
"N00007364","Dianne Feinstein (D-Calif)","38941300","103030014","70985657","2005","S","Center for Responsive Politics",""
"N00002383","Charles H. Taylor (R-NC)","56056018","77341001","66698509","2005","H","Center for Responsive Politics",""
"N00000659","Frank R. Lautenberg (D-NJ)","38198157","90733015","64465586","2005","S","Center for Responsive Politics",""
"N99999959","Daniel Bartlett","21964047","98410000","60187023","2005","E","Center for Responsive Politics",""
"N00002315","Robin Hayes (R-NC)","54952197","63970168","59461182","2005","H","Center for Responsive Politics",""
"N00000308","Edward M. Kennedy (D-Mass)","15189042","97042999","56116020","2005","S","Center for Responsive Politics",""
"N00009954","Lincoln D. Chafee (R-RI)","40153103","63096018","51624560","2005","S","Center for Responsive Politics",""
"N00006237","Dick Cheney (R)","17120028","79575000","48347514","2005","E","Center for Responsive Politics",""
"N00000684","Rodney Frelinghuysen (R-NJ)","19978175","67170000","43574087","2005","H","Center for Responsive Politics",""
"N00027565","John Campbell (R-Calif)","15518085","71547000","43532542","2005","H","Center for Responsive Politics",""
"N00001024","Nita M. Lowey (D-NY)","14887068","60631000","37759034","2005","H","Center for Responsive Politics",""
"N00007815","Gordon H. Smith (R-Ore)","12744661","62511638","37628149","2005","S","Center for Responsive Politics",""
"N00026460","Michael McCaul (R-Texas)","13017114","58579999","35798556","2005","H","Center for Responsive Politics",""
"N00007360","Nancy Pelosi (D-Calif)","-14753883","83084990","34165553","2005","H","Center for Responsive Politics",""
"N00006954","Gary Miller (R-Calif)","-21931","63784996","31881532","2005","H","Center for Responsive Politics",""
"N00008071","Elizabeth Dole (R-NC)","13508143","49829000","31668571","2005","S","Center for Responsive Politics",""
"N00004645","Denny Rehberg (R-Mont)","6448013","55794998","31121505","2005","H","Center for Responsive Politics",""
"N00000019","Hillary Clinton (D-NY)","10095006","50250000","30172503","2005","S","Center for Responsive Politics",""
"N99999975","Allan B. Hubbard","11688114","48180000","29934057","2005","E","Center for Responsive Politics",""
"N00003147","Bill Frist (R-Tenn)","12667037","46735003","29701020","2005","S","Center for Responsive Politics",""
"N00026160","Tom Price (R-Ga)","16154331","42829284","29491807","2005","H","Center for Responsive Politics",""
"N00003709","Mike DeWine (R-Ohio)","11488410","47410000","29449205","2005","S","Center for Responsive Politics",""
"N00004291","F. James Sensenbrenner Jr. (R-Wis)","24051695","34434634","29243164","2005","H","Center for Responsive Politics",""
"N00009888","Lamar Alexander (R-Tenn)","11408952","43345914","27377433","2005","S","Center for Responsive Politics",""
"N00006424","John McCain (R-Ariz)","18931130","33683004","26307067","2005","S","Center for Responsive Politics",""
"N00012586","Chris Chocola (R-Ind)","12166079","35690000","23928039","2005","H","Center for Responsive Politics",""
"N00006518","Jeff Bingaman (D-NM)","8270186","37753000","23011593","2005","S","Center for Responsive Politics",""
"N00004426","Tom Petri (R-Wis)","5011036","40541999","22776517","2005","H","Center for Responsive Politics",""
"N00024882","Katherine Harris (R-Fla)","7771024","36847000","22309012","2005","H","Center for Responsive Politics",""
"N00000078","Carolyn B. Maloney (D-NY)","7620080","35949996","21785038","2005","H","Center for Responsive Politics",""
"N00002877","E. Clay Shaw Jr. (R-Fla)","6811025","36389999","21600512","2005","H","Center for Responsive Politics",""
"N99999960","Michael Leavitt","7131045","33914996","20523020","2005","E","Center for Responsive Politics",""
"N00024813","Rahm Emanuel (D-Ill)","8524020","32185000","20354510","2005","H","Center for Responsive Politics",""
"N00002599","John Linder (R-Ga)","7291027","33040000","20165513","2005","H","Center for Responsive Politics",""
"N00000480","Olympia J. Snowe (R-Maine)","7975058","31935000","19955029","2005","S","Center for Responsive Politics",""
"N00009920","Richard C. Shelby (R-Ala)","4413019","34095001","19254010","2005","S","Center for Responsive Politics",""
"N00012672","Steve Pearce (R-NM)","7167012","29380000","18273506","2005","H","Center for Responsive Politics",""
"N00006932","David Dreier (R-Calif)","6646055","29018000","17832027","2005","H","Center for Responsive Politics",""
"N99999924","Ruth Bader Ginsburg","6365014","28080000","17222507","2005","J","Center for Responsive Politics",""
"N00003660","Paul E. Gillmor (R-Ohio)","6164038","27837000","17000519","2005","H","Center for Responsive Politics",""
"N00013869","Michael E. Sodrel (R-Ind)","5618943","27103936","16361439","2005","H","Center for Responsive Politics",""
"N00000615","Rosa L. DeLauro (D-Conn)","5654033","26904998","16279515","2005","H","Center for Responsive Politics",""
"N99999920","David H. Souter","5615004","26330000","15972502","2005","J","Center for Responsive Politics",""
"N00006023","Lloyd Doggett (D-Texas)","7623102","23594999","15609050","2005","H","Center for Responsive Politics",""
"N00008072","George W. Bush (R)","8118689","21514640","14816664","2005","E","Center for Responsive Politics",""
"N00002593","Johnny Isakson (R-Ga)","7531072","21508999","14520035","2005","S","Center for Responsive Politics",""
"N00026710","Kenny Marchant (R-Texas)","3773142","23146996","13460069","2005","H","Center for Responsive Politics",""
"N00026043","Randy Neugebauer (R-Texas)","5153153","20829997","12991575","2005","H","Center for Responsive Politics",""
"N00005329","Ben Nelson (D-Neb)","6654051","18943001","12798526","2005","S","Center for Responsive Politics",""
