"cid","Name","MinValue","MaxValue","AvgValue","year","chamber","Origin","Source"
"N00026460","Michael McCaul (R-Texas)","306437919","694811003","500624461","2011","H","Center for Responsive Politics",""
"N00007017","Darrell Issa (R-Calif)","215550040","745099999","480325019","2011","H","Center for Responsive Politics",""
"N00000245","John Kerry (D-Mass)","196118560","300435074","248276817","2011","E","Center for Responsive Politics",""
"N00002097","Mark Warner (D-Va)","86024219","370235000","228129609","2011","S","Center for Responsive Politics",""
"N00029127","Jared Polis (D-Colo)","83065361","346827997","214946679","2011","H","Center for Responsive Politics",""
"N00004309","Herb Kohl (D-Wis)","78063023","264450994","171257008","2011","S","Center for Responsive Politics",""
"N00000286","Mitt Romney (R)","80852165","253975014","167413589","2011","E","Center for Responsive Politics",""
"N99999903","John E Bryson","68901407","246239999","157570703","2011","E","Center for Responsive Politics",""
"N00033897","John K. Delaney (D-Md)","46786139","230914999","138850569","2011","H","Center for Responsive Politics",""
"N99999905","Jeffrey Zients","56743054","198220000","127481527","2011","E","Center for Responsive Politics",""
"N00001685","Jay Rockefeller (D-WVa)","63082021","142330003","102706012","2011","S","Center for Responsive Politics",""
"N00031685","Richard Blumenthal (D-Conn)","79606299","120774049","100190174","2011","S","Center for Responsive Politics",""
"N00027626","Vernon Buchanan (R-Fla)","-63427724","254082982","95327629","2011","H","Center for Responsive Politics",""
"N00007360","Nancy Pelosi (D-Calif)","7776073","180548992","94162532","2011","H","Center for Responsive Politics",""
"N00033591","Scott Peters (D-Calif)","-31969893","212667994","90349050","2011","H","Center for Responsive Politics",""
"N00000659","Frank R. Lautenberg (D-NJ)","57699193","117415025","87557109","2011","S","Center for Responsive Politics",""
"N00007364","Dianne Feinstein (D-Calif)","42777230","98673018","70725124","2011","S","Center for Responsive Politics",""
"N00031539","Diane Black (R-Tenn)","15793074","113694996","64744035","2011","H","Center for Responsive Politics",""
"N00001285","Chris Collins (R-NY)","13308039","107394996","60351517","2011","H","Center for Responsive Politics",""
"N00028418","Alan Grayson (D-Fla)","24137081","85510000","54823540","2011","H","Center for Responsive Politics",""
"N00029441","James E. Risch (R-Idaho)","19020059","87863997","53442028","2011","S","Center for Responsive Politics",""
"N00030693","Suzan DelBene (D-Wash)","23223064","83245000","53234032","2011","H","Center for Responsive Politics",""
"N00000684","Rodney Frelinghuysen (R-NJ)","21655186","74326000","47990593","2011","H","Center for Responsive Politics",""
