"cid","Name","MinValue","MaxValue","AvgValue","year","chamber","Origin","Source"
"N00007017","Darrell Issa (R-Calif)","330380031","597850005","464115018","2012","H","Center for Responsive Politics",""
"N00004309","Herb Kohl (D-Wis)","276478025","383347994","329913009","2012","S","Center for Responsive Politics",""
"N00002097","Mark Warner (D-Va)","96221316","418742000","257481658","2012","S","Center for Responsive Politics",""
"N00000245","John Kerry (D-Mass)","184659550","288360063","236509806","2012","E","Center for Responsive Politics",""
"N00029127","Jared Polis (D-Colo)","70791412","326599999","198695705","2012","H","Center for Responsive Politics",""
"N00033897","John K. Delaney (D-Md)","65151162","244051998","154601580","2012","H","Center for Responsive Politics",""
"N00026460","Michael McCaul (R-Texas)","102547780","183760040","143153910","2012","H","Center for Responsive Politics",""
"N00033591","Scott Peters (D-Calif)","27518090","197415991","112467040","2012","H","Center for Responsive Politics",""
"N00031685","Richard Blumenthal (D-Conn)","89624354","131229056","110426705","2012","S","Center for Responsive Politics",""
"N00001685","Jay Rockefeller (D-WVa)","63269025","139312004","101290514","2012","S","Center for Responsive Politics",""
"N00007360","Nancy Pelosi (D-Calif)","1046071","174947989","87997030","2012","H","Center for Responsive Politics",""
"N00027626","Vernon Buchanan (R-Fla)","-68149853","233753984","82802065","2012","H","Center for Responsive Politics",""
"N00031539","Diane Black (R-Tenn)","3443087","135694997","69569042","2012","H","Center for Responsive Politics",""
"N00007364","Dianne Feinstein (D-Calif)","42673137","94220020","68446578","2012","S","Center for Responsive Politics",""
"N00001285","Chris Collins (R-NY)","22263037","95946000","59104518","2012","H","Center for Responsive Politics",""
"N00034416","Robert Pittenger (R-NC)","29927054","79655998","54791526","2012","H","Center for Responsive Politics",""
"N00030693","Suzan DelBene (D-Wash)","23908063","84595000","54251531","2012","H","Center for Responsive Politics",""
"N00029441","James E. Risch (R-Idaho)","19125058","87941998","53533528","2012","S","Center for Responsive Politics",""
"N00027441","Bob Corker (R-Tenn)","8675020","89553998","49114509","2012","S","Center for Responsive Politics",""
"N00031629","Rick Berg (R-ND)","24259979","73938849","49099414","2012","H","Center for Responsive Politics",""
"N00006954","Gary Miller (R-Calif)","17813046","75272000","46542523","2012","H","Center for Responsive Politics",""
"N00000684","Rodney Frelinghuysen (R-NJ)","20908191","69897000","45402595","2012","H","Center for Responsive Politics",""
"N00013817","Chellie Pingree (D-Maine)","34418068","46506025","40462046","2012","H","Center for Responsive Politics",""
"N00028418","Alan Grayson (D-Fla)","-2212951","82936999","40362024","2012","H","Center for Responsive Politics",""
"N00031127","Jim Renacci (R-Ohio)","36338760","42930702","39634731","2012","H","Center for Responsive Politics",""
"N00030962","Scott Rigell (R-Va)","14104074","62391000","38247537","2012","H","Center for Responsive Politics",""
"N00031688","John Hoeven (R-ND)","10209077","64021999","37115538","2012","S","Center for Responsive Politics",""
"N00029679","John Fleming (R-La)","11981047","58277000","35129023","2012","H","Center for Responsive Politics",""
"N00001024","Nita M. Lowey (D-NY)","12816023","55765000","34290511","2012","H","Center for Responsive Politics",""
"N00006423","Trent Franks (R-Ariz)","11050005","55319998","33185001","2012","H","Center for Responsive Politics",""
"N00034044","Joe Kennedy III (D-Mass)","15127233","48801997","31964615","2012","H","Center for Responsive Politics",""
"N00000078","Carolyn B. Maloney (D-NY)","7862020","48830996","28346508","2012","H","Center for Responsive Politics",""
"N00030197","Richard Hanna (R-NY)","14367153","41710000","28038576","2012","H","Center for Responsive Politics",""
"N00004426","Tom Petri (R-Wis)","6011023","45265999","25638511","2012","H","Center for Responsive Politics",""
"N00032546","Ron Johnson (R-Wis)","9216014","39668000","24442007","2012","S","Center for Responsive Politics",""
"N00033054","Steven Daines (R-Mont)","9250012","39550000","24400006","2012","H","Center for Responsive Politics",""
"N00008086","Dave Camp (R-Mich)","12180609","36400000","24290304","2012","H","Center for Responsive Politics",""
"N00029617","Kay R. Hagan (D-NC)","-3848388","51987970","24069791","2012","S","Center for Responsive Politics",""
"N00003389","Mitch McConnell (R-Ky)","9195051","36402001","22798526","2012","S","Center for Responsive Politics",""
"N00012672","Steve Pearce (R-NM)","7983015","37245000","22614007","2012","H","Center for Responsive Politics",""
"N00027565","John Campbell (R-Calif)","9351060","34567000","21959030","2012","H","Center for Responsive Politics",""
"N00033101","Brad Schneider (D-Ill)","10026703","33006000","21516351","2012","H","Center for Responsive Politics",""
"N00028073","John A. Yarmuth (D-Ky)","5872051","36529998","21201024","2012","H","Center for Responsive Politics",""
"N00006023","Lloyd Doggett (D-Texas)","10262086","31754999","21008542","2012","H","Center for Responsive Politics",""
"N00027694","Claire McCaskill (D-Mo)","15128202","26810006","20969104","2012","S","Center for Responsive Politics",""
"N00030602","Roger Williams (R-Texas)","5578026","32794996","19186511","2012","H","Center for Responsive Politics",""
"N00004291","F. James Sensenbrenner Jr (R-Wis)","15723191","21393142","18558166","2012","H","Center for Responsive Politics",""
"N00004133","Fred Upton (R-Mich)","8321173","28340000","18330586","2012","H","Center for Responsive Politics",""
"N00004207","Tom Harkin (D-Iowa)","12103118","23975003","18039060","2012","S","Center for Responsive Politics",""
"N00029139","Bill Foster (D-Ill)","6666020","28765000","17715510","2012","H","Center for Responsive Politics",""
"N99999900","Sarah Jewell","6666193","25340000","16003096","2012","E","Center for Responsive Politics",""
"N00026710","Kenny Marchant (R-Texas)","7425337","24465312","15945324","2012","H","Center for Responsive Politics",""
"N00000615","Rosa L. DeLauro (D-Conn)","5349018","26319996","15834507","2012","H","Center for Responsive Politics",""
"N00034580","Angus King (I-Maine)","5342164","26123995","15733079","2012","S","Center for Responsive Politics",""
"N00031593","Jeff Denham (R-Calif)","5310006","26099999","15705002","2012","H","Center for Responsive Politics",""
"N00000019","Hillary Clinton (D-NY)","5195006","25500000","15347503","2012","E","Center for Responsive Politics",""
"N00005329","Ben Nelson (D-Neb)","10211103","19876002","15043552","2012","S","Center for Responsive Politics",""
"N00002593","Johnny Isakson (R-Ga)","7416141","22670000","15043070","2012","S","Center for Responsive Politics",""
"N00000480","Olympia Snowe (R-Maine)","9612055","19584001","14598028","2012","S","Center for Responsive Politics",""
"N00029788","Cynthia Marie Lummis (R-Wyo)","5332023","23487999","14410011","2012","H","Center for Responsive Politics",""
"N00031647","Mike Kelly (R-Pa)","7467140","20660000","14063570","2012","H","Center for Responsive Politics",""
"N00003682","Rob Portman (R-Ohio)","7365124","20483999","13924561","2012","S","Center for Responsive Politics",""
"N00009818","Shelley Berkley (D-Nev)","7011567","20717510","13864538","2012","H","Center for Responsive Politics",""
"N00029018","Tom Rooney (R-Fla)","6706524","17085708","11896116","2012","H","Center for Responsive Politics",""
"N99999898","Ernest Moniz","5367083","18055000","11711041","2012","E","Center for Responsive Politics",""
"N00006424","John McCain (R-Ariz)","7919124","15432001","11675562","2012","S","Center for Responsive Politics",""
"N00002424","Mark Sanford (R-SC)","4495013","18100000","11297506","2012","H","Center for Responsive Politics",""
"N99999924","Ruth Bader Ginsburg","4365012","18095000","11230006","2012","J","Center for Responsive Politics",""
"N99999925","Stephen G. Breyer","5035054","17070000","11052527","2012","J","Center for Responsive Politics",""
"N00006518","Jeff Bingaman (D-NM)","4716063","16968000","10842031","2012","S","Center for Responsive Politics",""
"N00029649","Jackie Speier (D-Calif)","5562078","15270000","10416039","2012","H","Center for Responsive Politics",""
