"cid","Name","MinValue","MaxValue","AvgValue","year","chamber","Origin","Source"
"N00007017","Darrell Issa (R-Calif)","195400035","700850000","448125017","2010","H","Center for Responsive Politics",""
"N00026460","Michael McCaul (R-Texas)","258618051","502205003","380411527","2010","H","Center for Responsive Politics",""
"N00006750","Jane Harman (D-Calif)","160085503","493604000","326844751","2010","H","Center for Responsive Politics",""
"N00000245","John Kerry (D-Mass)","181469521","281976067","231722794","2010","S","Center for Responsive Politics",""
"N00002097","Mark Warner (D-Va)","76372212","309088999","192730605","2010","S","Center for Responsive Politics",""
"N00000286","Mitt Romney (R)","85970233","271570014","178770123","2010","E","Center for Responsive Politics",""
"N00004309","Herb Kohl (D-Wis)","88228026","258847994","173538010","2010","S","Center for Responsive Politics",""
"N00029127","Jared Polis (D-Colo)","57944127","228492998","143218562","2010","H","Center for Responsive Politics",""
"N99999905","Jeffrey Zients","53520052","183025000","118272526","2010","E","Center for Responsive Politics",""
"N00027626","Vernon Buchanan (R-Fla)","-57239705","291979983","117370139","2010","H","Center for Responsive Politics",""
"N00007360","Nancy Pelosi (D-Calif)","5946075","196299990","101123032","2010","H","Center for Responsive Politics",""
"N00001685","Jay Rockefeller (D-WVa)","61632019","136482003","99057011","2010","S","Center for Responsive Politics",""
"N00028418","Alan Grayson (D-Fla)","57435038","130358000","93896519","2010","H","Center for Responsive Politics",""
"N00000659","Frank R. Lautenberg (D-NJ)","55073211","116071021","85572116","2010","S","Center for Responsive Politics",""
"N99999906","Karen Mills","42151205","116089999","79120602","2010","E","Center for Responsive Politics",""
"N00031685","Richard Blumenthal (D-Conn)","55119731","91183450","73151590","2010","S","Center for Responsive Politics",""
"N00007364","Dianne Feinstein (D-Calif)","44386225","93707020","69046622","2010","S","Center for Responsive Politics",""
"N00027441","Bob Corker (R-Tenn)","11679048","107420996","59550022","2010","S","Center for Responsive Politics",""
"N00029441","James E. Risch (R-Idaho)","19455056","88736997","54096026","2010","S","Center for Responsive Politics",""
"N00026710","Kenny Marchant (R-Texas)","28276794","70403757","49340275","2010","H","Center for Responsive Politics",""
"N00032546","Ron Johnson (R-Wis)","17062029","76836000","46949014","2010","S","Center for Responsive Politics",""
"N00006954","Gary Miller (R-Calif)","17454056","74562000","46008028","2010","H","Center for Responsive Politics",""
"N00000684","Rodney Frelinghuysen (R-NJ)","20350188","65451000","42900594","2010","H","Center for Responsive Politics",""
"N00031127","James B. Renacci (R-Ohio)","32345756","51775662","42060709","2010","H","Center for Responsive Politics",""
"N00001024","Nita M. Lowey (D-NY)","15395036","67025000","41210018","2010","H","Center for Responsive Politics",""
"N99999935","Susan E. Rice","26109178","46710011","36409594","2010","E","Center for Responsive Politics",""
"N00031647","Mike Kelly (R-Pa)","7903037","61321999","34612518","2010","H","Center for Responsive Politics",""
"N00006423","Trent Franks (R-Ariz)","11600005","56250000","33925002","2010","H","Center for Responsive Politics",""
