"cid","Name","MinValue","MaxValue","AvgValue","year","chamber","Origin","Source"
"N00003504","Deborah Pryce (R-Ohio)","-93813","548178","227182","2006","H","Center for Responsive Politics",""
"N00000036","Russ Feingold (D-Wis)","101003","349999","225501","2006","S","Center for Responsive Politics",""
"N00000575","John B. Larson (D-Conn)","106007","340000","223003","2006","H","Center for Responsive Politics",""
"N00009586","Hilda L. Solis (D-Calif)","131005","315000","223002","2006","H","Center for Responsive Politics",""
"N00000743","Scott Garrett (R-NJ)","112007","330000","221003","2006","H","Center for Responsive Politics",""
"N00001373","Mike Doyle (D-Pa)","50003","384998","217500","2006","H","Center for Responsive Politics",""
"N00027623","Adrian Smith (R-Neb)","35009","375999","205504","2006","H","Center for Responsive Politics",""
"N00024874","Dennis Cardoza (D-Calif)","46005","364999","205502","2006","H","Center for Responsive Politics",""
"N00005181","Russ Carnahan (D-Mo)","16005","389998","203001","2006","H","Center for Responsive Politics",""
"N00004702","Henry J. Hyde (R-Ill)","100003","291000","195501","2006","H","Center for Responsive Politics",""
"N00006283","Dirk Kempthorne","36004","344999","190501","2006","E","Center for Responsive Politics",""
"N00000528","Bernie Sanders (I-Vt)","-12990","389998","188504","2006","H","Center for Responsive Politics",""
"N00002327","Sue Myrick (R-NC)","97006","280000","188503","2006","H","Center for Responsive Politics",""
"N00000983","Vito Fossella (R-NY)","56016","317000","186508","2006","H","Center for Responsive Politics",""
"N00004005","Carolyn Cheeks Kilpatrick (D-Mich)","45018","326000","185509","2006","H","Center for Responsive Politics",""
"N00001746","Chaka Fattah (D-Pa)","50002","319998","185000","2006","H","Center for Responsive Politics",""
"N00026368","Tim Walberg (R-Mich)","115003","250000","182501","2006","H","Center for Responsive Politics",""
"N00001408","John P. Murtha (D-Pa)","85009","276000","180504","2006","H","Center for Responsive Politics",""
"N00007918","Norm Dicks (D-Wash)","77007","280000","178503","2006","H","Center for Responsive Politics",""
"N00001110","Anthony D. Weiner (D-NY)","22026","334000","178013","2006","H","Center for Responsive Politics",""
"N00005818","Sheila Jackson Lee (D-Texas)","-128987","479997","175505","2006","H","Center for Responsive Politics",""
"N00009677","Todd Akin (R-Mo)","32019","306000","169009","2006","H","Center for Responsive Politics",""
"N00002012","Wayne T. Gilchrest (R-Md)","31018","291000","161009","2006","H","Center for Responsive Politics",""
"N00001127","Joseph Crowley (D-NY)","47007","265999","156503","2006","H","Center for Responsive Politics",""
"N00009668","Mike Rogers (R-Mich)","13008","294999","154003","2006","H","Center for Responsive Politics",""
"N00013078","Jo Ann Davis (R-Va)","-189985","489995","150005","2006","H","Center for Responsive Politics",""
"N00027229","Michael G. Fitzpatrick (R-Pa)","81004","215000","148002","2006","H","Center for Responsive Politics",""
"N00004394","David R. Obey (D-Wis)","70007","225000","147503","2006","H","Center for Responsive Politics",""
"N00005414","Jim McCrery (R-La)","40015","253000","146507","2006","H","Center for Responsive Politics",""
"N00003875","Baron Hill (D-Ind)","69007","211000","140003","2006","H","Center for Responsive Politics",""
"N00001701","Norman Y. Mineta","69006","210000","139503","2006","E","Center for Responsive Politics",""
"N00005105","Ike Skelton (D-Mo)","36002","239999","138000","2006","H","Center for Responsive Politics",""
"N00000397","John E. Sununu (R-NH)","50008","225000","137504","2006","S","Center for Responsive Politics",""
"N99999923","Anthony M. Kennedy","65002","195000","130001","2006","J","Center for Responsive Politics",""
"N00009918","Patrick Leahy (D-Vt)","49007","210000","129503","2006","S","Center for Responsive Politics",""
"N00009573","Jeff Flake (R-Ariz)","-432993","680998","124002","2006","H","Center for Responsive Politics",""
"N00008144","Todd Tiahrt (R-Kan)","15017","227000","121008","2006","H","Center for Responsive Politics",""
"N00025692","Kendrick B Meek (D-Fla)","2003","229999","116001","2006","H","Center for Responsive Politics",""
"N00025025","Jim Gerlach (R-Pa)","66003","165000","115501","2006","H","Center for Responsive Politics",""
"N00000360","Patrick J. Kennedy (D-RI)","66003","165000","115501","2006","H","Center for Responsive Politics",""
"N00001193","Pete King (R-NY)","66003","165000","115501","2006","H","Center for Responsive Politics",""
