"cid","Name","MinValue","MaxValue","AvgValue","year","chamber","Origin","Source"
"N00006750","Jane Harman (D-Calif)","236280153","558544002","397412077","2007","H","Center for Responsive Politics",""
"N00007017","Darrell Issa (R-Calif)","160615042","526300001","343457521","2007","H","Center for Responsive Politics",""
"N00000245","John Kerry (D-Mass)","284157594","388292172","336224883","2007","S","Center for Responsive Politics",""
"N00004309","Herb Kohl (D-Wis)","199443029","301647997","250545513","2007","S","Center for Responsive Politics",""
"N00002097","Mark Warner (D-Va)","60591195","415094990","237843092","2007","S","Center for Responsive Politics",""
"N00027626","Vernon Buchanan (R-Fla)","-42409542","407256976","182423717","2007","H","Center for Responsive Politics",""
"N00029127","Jared Polis (D-Colo)","97374113","254377000","175875556","2007","H","Center for Responsive Politics",""
"N00002315","Robin Hayes (R-NC)","74576347","272241999","173409173","2007","H","Center for Responsive Politics",""
"N99999962","Henry M. Paulson","88161025","148565003","118363014","2007","E","Center for Responsive Politics",""
"N00000308","Edward M. Kennedy (D-Mass)","43821041","163298999","103560020","2007","S","Center for Responsive Politics",""
"N99999977","Samuel W. Bodman III","68717047","130705000","99711023","2007","E","Center for Responsive Politics",""
"N00001685","Jay Rockefeller (D-WVa)","59897019","127533003","93715011","2007","S","Center for Responsive Politics",""
"N00000659","Frank R. Lautenberg (D-NJ)","53326179","125692020","89509099","2007","S","Center for Responsive Politics",""
"N00007364","Dianne Feinstein (D-Calif)","52349306","116073023","84211164","2007","S","Center for Responsive Politics",""
"N00026460","Michael McCaul (R-Texas)","23931154","104215000","64073077","2007","H","Center for Responsive Politics",""
"N99999961","Carlos Gutierrez","22276025","104765000","63520512","2007","E","Center for Responsive Politics",""
"N00006237","Dick Cheney (R)","20954025","99310000","60132012","2007","E","Center for Responsive Politics",""
"N00029441","James E. Risch (R-Idaho)","19929058","92770996","56350027","2007","S","Center for Responsive Politics",""
"N00027441","Bob Corker (R-Tenn)","11194043","98169998","54682020","2007","S","Center for Responsive Politics",""
"N00000078","Carolyn B. Maloney (D-NY)","17009100","83585994","50297547","2007","H","Center for Responsive Politics",""
"N00029788","Cynthia Marie Lummis (R-Wyo)","13038030","83795998","48417014","2007","H","Center for Responsive Politics",""
"N00007360","Nancy Pelosi (D-Calif)","-23538894","119974989","48218047","2007","H","Center for Responsive Politics",""
"N00000684","Rodney Frelinghuysen (R-NJ)","22414184","72286000","47350092","2007","H","Center for Responsive Politics",""
"N00007815","Gordon H. Smith (R-Ore)","28358029","63895999","46127014","2007","S","Center for Responsive Politics",""
"N00028418","Alan Mark Grayson (D-Fla)","29026043","61696000","45361021","2007","H","Center for Responsive Politics",""
"N00001024","Nita M. Lowey (D-NY)","16929476","70503415","43716445","2007","H","Center for Responsive Politics",""
"N00006954","Gary Miller (R-Calif)","14494042","65462000","39978021","2007","H","Center for Responsive Politics",""
