"cid","Name","MinValue","MaxValue","AvgValue","year","chamber","Origin","Source"
"N00007017","Darrell Issa (R-Calif)","156050022","451100000","303575011","2009","H","Center for Responsive Politics",""
"N00006750","Jane Harman (D-Calif)","151480522","435429001","293454761","2009","H","Center for Responsive Politics",""
"N00000245","John Kerry (D-Mass)","182755534","294869059","238812296","2009","S","Center for Responsive Politics",""
"N00004309","Herb Kohl (D-Wis)","139358027","256245996","197802011","2009","S","Center for Responsive Politics",""
"N00029127","Jared Polis (D-Colo)","61844140","290188999","176016569","2009","H","Center for Responsive Politics",""
"N00002097","Mark Warner (D-Va)","65692210","283077995","174385102","2009","S","Center for Responsive Politics",""
"N00027626","Vernon Buchanan (R-Fla)","-69434661","366180982","148373160","2009","H","Center for Responsive Politics",""
"N99999905","Jeffrey Zients","62763052","219270003","141016527","2009","E","Center for Responsive Politics",""
"N00026460","Michael McCaul (R-Texas)","73685086","201537000","137611043","2009","H","Center for Responsive Politics",""
"N00001685","Jay Rockefeller (D-WVa)","61446018","136218002","98832010","2009","S","Center for Responsive Politics",""
"N00031685","Richard Blumenthal (D-Conn)","64210256","125529976","94870116","2009","S","Center for Responsive Politics",""
"N00007364","Dianne Feinstein (D-Calif)","46055250","108109018","77082134","2009","S","Center for Responsive Politics",""
"N00000659","Frank R. Lautenberg (D-NJ)","49083204","104690018","76886611","2009","S","Center for Responsive Politics",""
"N99999906","Karen Mills","39624196","104859999","72242097","2009","E","Center for Responsive Politics",""
"N00007360","Nancy Pelosi (D-Calif)","-7356915","124229990","58436537","2009","H","Center for Responsive Politics",""
"N00028418","Alan Mark Grayson (D-Fla)","31411044","78522000","54966522","2009","H","Center for Responsive Politics",""
"N00029441","James E. Risch (R-Idaho)","19469058","89580995","54525026","2009","S","Center for Responsive Politics",""
"N00006954","Gary Miller (R-Calif)","19365053","84302000","51833526","2009","H","Center for Responsive Politics",""
"N00027441","Bob Corker (R-Tenn)","9778047","91656998","50717522","2009","S","Center for Responsive Politics",""
"N00031539","Diane Lynn Black (R-Tenn)","14673049","84145990","49409519","2009","H","Center for Responsive Politics",""
"N00000684","Rodney Frelinghuysen (R-NJ)","19898179","67697000","43797589","2009","H","Center for Responsive Politics",""
"N00031629","Rick Berg (R-ND)","19347579","58981451","39164515","2009","H","Center for Responsive Politics",""
"N00001024","Nita M. Lowey (D-NY)","14963779","63038744","39001261","2009","H","Center for Responsive Politics",""
"N00026710","Kenny Marchant (R-Texas)","13318385","63116351","38217368","2009","H","Center for Responsive Politics",""
"N00029556","Harry Teague (D-NM)","21119041","53084997","37102019","2009","H","Center for Responsive Politics",""
"N99999935","Susan E. Rice","23521177","43540009","33530593","2009","E","Center for Responsive Politics",""
"N00004645","Denny Rehberg (R-Mont)","6598014","56244997","31421505","2009","H","Center for Responsive Politics",""
"N00000019","Hillary Clinton","10727014","51754999","31241006","2009","E","Center for Responsive Politics",""
"N00030962","Scott Rigell (R-Va)","11618078","48200000","29909039","2009","H","Center for Responsive Politics",""
"N99999914","William M. Daley","11878183","45614998","28746590","2009","E","Center for Responsive Politics",""
"N00000480","Olympia J. Snowe (R-Maine)","12556055","44669000","28612527","2009","S","Center for Responsive Politics",""
"N00031127","James B. Renacci (R-Ohio)","17571131","39297044","28434087","2009","H","Center for Responsive Politics",""
"N99999924","Ruth Bader Ginsburg","10700013","45480000","28090006","2009","J","Center for Responsive Politics",""
"N00009888","Lamar Alexander (R-Tenn)","11522909","44209871","27866390","2009","S","Center for Responsive Politics",""
"N00000078","Carolyn B. Maloney (D-NY)","7045017","41899994","24472505","2009","H","Center for Responsive Politics",""
"N00004426","Tom Petri (R-Wis)","5111026","43765999","24438512","2009","H","Center for Responsive Politics",""
"N00027565","John Campbell (R-Calif)","9227063","37282000","23254531","2009","H","Center for Responsive Politics",""
"N00012672","Steve Pearce (R-NM)","8368014","37945000","23156507","2009","H","Center for Responsive Politics",""
"N00002492","John M. Spratt Jr. (D-SC)","7514020","37372995","22443507","2009","H","Center for Responsive Politics",""
"N00030197","Richard L Hanna (R-NY)","10960117","33276000","22118058","2009","H","Center for Responsive Politics",""
"N00027694","Claire McCaskill (D-Mo)","15681206","27543006","21612106","2009","S","Center for Responsive Politics",""
"N00031672","Blake Farenthold (R-Texas)","10359086","31381997","20870541","2009","H","Center for Responsive Politics",""
"N00031688","John Hoeven (R-ND)","-12829960","52851999","20011019","2009","S","Center for Responsive Politics",""
"N00003389","Mitch McConnell (R-Ky)","7102036","32756000","19929018","2009","S","Center for Responsive Politics",""
"N00030198","Christopher J. Lee (R-NY)","8593285","30714999","19654142","2009","H","Center for Responsive Politics",""
"N00029617","Kay R. Hagan (D-NC)","3799597","33649981","18724789","2009","S","Center for Responsive Politics",""
"N00029139","Bill Foster (D-Ill)","7326023","30066000","18696011","2009","H","Center for Responsive Politics",""
"N00000360","Patrick J. Kennedy (D-RI)","6065004","30150000","18107502","2009","H","Center for Responsive Politics",""
"N00004291","F. James Sensenbrenner Jr. (R-Wis)","14990621","20923567","17957094","2009","H","Center for Responsive Politics",""
"N00032546","Ron Johnson (R-Wis)","899171","34908998","17904084","2009","S","Center for Responsive Politics",""
"N00030608","Michael F Bennet (D-Colo)","6217020","27780000","16998510","2009","S","Center for Responsive Politics",""
"N00002599","John Linder (R-Ga)","7500013","26199998","16850005","2009","H","Center for Responsive Politics",""
"N00004207","Tom Harkin (D-Iowa)","10447125","23082001","16764563","2009","S","Center for Responsive Politics",""
"N00031124","Nan Hayworth (R-NY)","9542219","23259000","16400609","2009","H","Center for Responsive Politics",""
"N00004133","Fred Upton (R-Mich)","7010173","25651000","16330586","2009","H","Center for Responsive Politics",""
"N00000615","Rosa L. DeLauro (D-Conn)","5429018","26697997","16063507","2009","H","Center for Responsive Politics",""
"N99999920","David H. Souter","5630006","26380000","16005003","2009","J","Center for Responsive Politics",""
"N00006424","John McCain (R-Ariz)","9769247","22072994","15921120","2009","S","Center for Responsive Politics",""
"N00029917","Parker Griffith (D-Ala)","-357963","31279995","15461016","2009","H","Center for Responsive Politics",""
"N00006023","Lloyd Doggett (D-Texas)","7790095","20949999","14370047","2009","H","Center for Responsive Politics",""
"N00029788","Cynthia Marie Lummis (R-Wyo)","4939028","23591999","14265513","2009","H","Center for Responsive Politics",""
"N00006518","Jeff Bingaman (D-NM)","6393295","20874000","13633647","2009","S","Center for Responsive Politics",""
"N00009818","Shelley Berkley (D-Nev)","6593088","20654033","13623560","2009","H","Center for Responsive Politics",""
"N00029649","Jackie Speier (D-Calif)","4561077","20503000","12532038","2009","H","Center for Responsive Politics",""
"N00026160","Tom Price (R-Ga)","7653606","17121588","12387597","2009","H","Center for Responsive Politics",""
"N00005329","Ben Nelson (D-Neb)","8010107","16623001","12316554","2009","S","Center for Responsive Politics",""
"N00006423","Trent Franks (R-Ariz)","4100005","20250000","12175002","2009","H","Center for Responsive Politics",""
"N00026043","Randy Neugebauer (R-Texas)","6126070","18078998","12102534","2009","H","Center for Responsive Politics",""
"N00002593","Johnny Isakson (R-Ga)","6407085","17427999","11917542","2009","S","Center for Responsive Politics",""
"N00003682","Rob Portman (R-Ohio)","5544075","17468999","11506537","2009","S","Center for Responsive Politics",""
