"cid","Name","MinValue","MaxValue","AvgValue","year","chamber","Origin","Source"
"N00000245","John Kerry (D-Mass)","236689485","312460164","274574824","2004","S","Center for Responsive Politics",""
"N00004309","Herb Kohl (D-Wis)","232733030","277330999","255032014","2004","S","Center for Responsive Politics",""
"N00006750","Jane Harman (D-Calif)","187926685","266474003","227200344","2004","H","Center for Responsive Politics",""
"N00007017","Darrell Issa (R-Calif)","94847066","314031000","204439033","2004","H","Center for Responsive Politics",""
"N00009945","Jon S. Corzine (D-NJ)","60180042","255751999","157966020","2004","S","Center for Responsive Politics",""
"N00001329","Amo Houghton (R-NY)","52441115","242424998","147433056","2004","H","Center for Responsive Politics",""
"N99999981","Donald H. Rumsfeld","64388104","210554999","137471551","2004","E","Center for Responsive Politics",""
"N00007581","Doug Ose (R-Calif)","54624087","182587000","118605543","2004","H","Center for Responsive Politics",""
"N99999986","William H. Donaldson","45569141","191235001","118402071","2004","E","Center for Responsive Politics",""
"N00001685","Jay Rockefeller (D-WVa)","73189026","130188999","101689012","2004","S","Center for Responsive Politics",""
"N99999977","Samuel W. Bodman III","69676058","132640000","101158029","2004","E","Center for Responsive Politics",""
"N00004690","Peter G. Fitzgerald (R-Ill)","79793828","108448802","94121315","2004","S","Center for Responsive Politics",""
"N00002383","Charles H. Taylor (R-NC)","55805017","76827001","66316009","2004","H","Center for Responsive Politics",""
"N00007364","Dianne Feinstein (D-Calif)","37364221","86173012","61768616","2004","S","Center for Responsive Politics",""
"N00002315","Robin Hayes (R-NC)","56632745","66206714","61419729","2004","H","Center for Responsive Politics",""
"N00009954","Lincoln D. Chafee (R-RI)","41290112","66427017","53858564","2004","S","Center for Responsive Politics",""
"N00000659","Frank R. Lautenberg (D-NJ)","30274132","74504012","52389072","2004","S","Center for Responsive Politics",""
"N99999961","Carlos Gutierrez","18293026","84845000","51569013","2004","E","Center for Responsive Politics",""
"N00000684","Rodney Frelinghuysen (R-NJ)","21046181","78315000","49680590","2004","H","Center for Responsive Politics",""
"N00006237","Dick Cheney (R)","16583026","75495000","46039013","2004","E","Center for Responsive Politics",""
"N00006954","Gary Miller (R-Calif)","7112078","84065996","45589037","2004","H","Center for Responsive Politics",""
"N00007360","Nancy Pelosi (D-Calif)","-4794882","87212990","41209054","2004","H","Center for Responsive Politics",""
"N00012586","Chris Chocola (R-Ind)","16195080","55350000","35772540","2004","H","Center for Responsive Politics",""
"N00026460","Michael McCaul (R-Texas)","11603135","56749998","34176566","2004","H","Center for Responsive Politics",""
"N00003709","Mike DeWine (R-Ohio)","12199392","51473999","31836695","2004","S","Center for Responsive Politics",""
"N00004645","Denny Rehberg (R-Mont)","6150016","55464997","30807506","2004","H","Center for Responsive Politics",""
"N00001024","Nita M. Lowey (D-NY)","13931258","46753211","30342234","2004","H","Center for Responsive Politics",""
"N00000019","Hillary Clinton (D-NY)","10045005","50151000","30098002","2004","S","Center for Responsive Politics",""
"N00000308","Edward M. Kennedy (D-Mass)","5955026","51252999","28604012","2004","S","Center for Responsive Politics",""
"N00009888","Lamar Alexander (R-Tenn)","11952954","44847912","28400433","2004","S","Center for Responsive Politics",""
"N00004291","F. James Sensenbrenner Jr. (R-Wis)","21878666","33107593","27493129","2004","H","Center for Responsive Politics",""
"N00003147","Bill Frist (R-Tenn)","10308058","44252006","27280032","2004","S","Center for Responsive Politics",""
"N00026710","Kenny Marchant (R-Texas)","8017062","45674994","26846028","2004","H","Center for Responsive Politics",""
"N00002877","E. Clay Shaw Jr. (R-Fla)","7561025","40889999","24225512","2004","H","Center for Responsive Politics",""
"N00006424","John McCain (R-Ariz)","20470075","27526030","23998052","2004","S","Center for Responsive Politics",""
"N00007815","Gordon H. Smith (R-Ore)","8291753","38643730","23467741","2004","S","Center for Responsive Politics",""
"N00009920","Richard C. Shelby (R-Ala)","9548019","35396002","22472010","2004","S","Center for Responsive Politics",""
"N00008071","Elizabeth Dole (R-NC)","10071122","33849000","21960061","2004","S","Center for Responsive Politics",""
"N00004426","Tom Petri (R-Wis)","3976032","38490999","21233515","2004","H","Center for Responsive Politics",""
"N00002377","Cass Ballenger (R-NC)","8037183","33689000","20863091","2004","H","Center for Responsive Politics",""
"N00002599","John Linder (R-Ga)","7756030","33890000","20823015","2004","H","Center for Responsive Politics",""
"N00000078","Carolyn B. Maloney (D-NY)","8665075","32169996","20417535","2004","H","Center for Responsive Politics",""
"N00024813","Rahm Emanuel (D-Ill)","8137019","31455000","19796009","2004","H","Center for Responsive Politics",""
"N00000480","Olympia J. Snowe (R-Maine)","7754066","31645000","19699533","2004","S","Center for Responsive Politics",""
"N00002742","Bob Graham (D)","7067089","30424000","18745544","2004","S","Center for Responsive Politics",""
"N00002283","John Edwards (D-NC)","11148158","25251000","18199579","2004","S","Center for Responsive Politics",""
"N00002960","Porter Goss (R-Fla)","8838175","27345000","18091587","2004","H","Center for Responsive Politics",""
"N00006932","David Dreier (R-Calif)","6894032","29211000","18052516","2004","H","Center for Responsive Politics",""
"N00003392","Anne M. Northup (R-Ky)","6633069","29297000","17965034","2004","H","Center for Responsive Politics",""
"N00003660","Paul E. Gillmor (R-Ohio)","6199038","27887000","17043019","2004","H","Center for Responsive Politics",""
"N00013869","Michael E. Sodrel (R-Ind)","6035796","28019787","17027791","2004","H","Center for Responsive Politics",""
"N00012672","Steve Pearce (R-NM)","6266010","27615000","16940505","2004","H","Center for Responsive Politics",""
"N00000615","Rosa L. DeLauro (D-Conn)","5835040","27275000","16555020","2004","H","Center for Responsive Politics",""
"N99999920","David H. Souter","5365004","25830000","15597502","2004","J","Center for Responsive Politics",""
"N00002593","Johnny Isakson (R-Ga)","6816088","24268998","15542543","2004","H","Center for Responsive Politics",""
"N00024882","Katherine Harris (R-Fla)","5241017","25715000","15478008","2004","H","Center for Responsive Politics",""
"N99999995","I. Lewis Libby","6931037","23390000","15160518","2004","E","Center for Responsive Politics",""
"N99999924","Ruth Bader Ginsburg","5895014","24030000","14962507","2004","J","Center for Responsive Politics",""
"N00008072","George W. Bush (R)","7855743","18117698","12986720","2004","E","Center for Responsive Politics",""
"N00005329","Ben Nelson (D-Neb)","6730045","19061001","12895523","2004","S","Center for Responsive Politics",""
"N00006023","Lloyd Doggett (D-Texas)","6429105","18359999","12394552","2004","H","Center for Responsive Politics",""
"N00013291","Mark Dayton (D-Minn)","4727344","19986000","12356672","2004","S","Center for Responsive Politics",""
"N00026160","Tom Price (R-Ga)","7975223","14858199","11416711","2004","H","Center for Responsive Politics",""
"N00003682","Rob Portman (R-Ohio)","6469080","14910000","10689540","2004","H","Center for Responsive Politics",""
"N00004133","Fred Upton (R-Mich)","4298075","15646000","9972037","2004","H","Center for Responsive Politics",""
"N99999925","Stephen G. Breyer","4215058","15545000","9880029","2004","J","Center for Responsive Politics",""
"N00003444","Ken Lucas (D-Ky)","3965010","14499998","9232504","2004","H","Center for Responsive Politics",""
"N00004280","Jim Leach (R-Iowa)","4294162","14060000","9177081","2004","H","Center for Responsive Politics",""
"N00012970","Tom Osborne (R-Neb)","3146366","14199000","8672683","2004","H","Center for Responsive Politics",""
"N00001020","Sue Kelly (R-NY)","1022056","15756997","8389526","2004","H","Center for Responsive Politics",""
"N00002083","Jim Moran (D-Va)","1577328","14580993","8079160","2004","H","Center for Responsive Politics",""
"N00009637","C. L. "Butch" Otter (R-Idaho)","3894090","12236000","8065045","2004","H","Center for Responsive Politics",""
"N00003725","Dave Hobson (R-Ohio)","536072","15539989","8038030","2004","H","Center for Responsive Politics",""
"N00006202","Ben Nighthorse Campbell (R-Colo)","4436013","11454999","7945506","2004","S","Center for Responsive Politics",""
"N00001510","Don Sherwood (R-Pa)","3837032","11816998","7827015","2004","H","Center for Responsive Politics",""
"N99999996","Clay Johnson III","3963051","11670000","7816525","2004","E","Center for Responsive Politics",""
"N00008086","Dave Camp (R-Mich)","3479107","11710000","7594553","2004","H","Center for Responsive Politics",""
"N00006349","Chris Cannon (R-Utah)","2768014","12194999","7481506","2004","H","Center for Responsive Politics",""
"N00002214","Alan B. Mollohan (D-WVa)","-6886975","21466988","7290006","2004","H","Center for Responsive Politics",""
"N00026163","Lynn A. Westmoreland (R-Ga)","2152009","12114995","7133502","2004","H","Center for Responsive Politics",""
"N00026043","Randy Neugebauer (R-Texas)","3178050","10749999","6964024","2004","H","Center for Responsive Politics",""
"N00006518","Jeff Bingaman (D-NM)","2694154","11180997","6937575","2004","S","Center for Responsive Politics",""
