"cid","Name","MinValue","MaxValue","AvgValue","year","chamber","Origin","Source"
"N00007017","Darrell Issa (R-Calif)","292250034","604600004","448425019","2013","H","Center for Responsive Politics",""
"N00002097","Mark Warner (D-Va)","95134301","413203000","254168650","2013","S","Center for Responsive Politics",""
"N00033897","John K. Delaney (D-Md)","109038155","335782999","222410577","2013","H","Center for Responsive Politics",""
"N00029127","Jared Polis (D-Colo)","70227432","356220997","213224214","2013","H","Center for Responsive Politics",""
"N00035607","Dave Trott (R-MI)","89945456","311073000","200509228","2013","H","Center for Responsive Politics",""
"N00026460","Michael McCaul (R-Texas)","117355892","208409043","162882467","2013","H","Center for Responsive Politics",""
"N00001685","Jay Rockefeller (D-WVa)","87546023","133874006","110710014","2013","S","Center for Responsive Politics",""
"N00000245","John Kerry (D-Mass)","66752774","139249950","103001362","2013","E","Center for Responsive Politics",""
"N00007360","Nancy Pelosi (D-Calif)","9606066","192122990","100864528","2013","H","Center for Responsive Politics",""
"N00031685","Richard Blumenthal (D-Conn)","79915815","119246525","99581170","2013","S","Center for Responsive Politics",""
"N00027626","Vernon Buchanan (R-Fla)","-37534887","233955986","98210549","2013","H","Center for Responsive Politics",""
"N00033591","Scott Peters (D-Calif)","44858094","131830008","88344051","2013","H","Center for Responsive Politics",""
"N00030693","Suzan DelBene (D-Wash)","32889065","129610000","81249532","2013","H","Center for Responsive Politics",""
"N00006954","Gary Miller (R-Calif)","29420066","131251000","80335533","2013","H","Center for Responsive Politics",""
"N00007364","Dianne Feinstein (D-Calif)","42023117","112447020","77235068","2013","S","Center for Responsive Politics",""
"N00028418","Alan Grayson (D-Fla)","6678063","122071999","64375031","2013","H","Center for Responsive Politics",""
"N00001285","Chris Collins (R-NY)","22497031","96331000","59414015","2013","H","Center for Responsive Politics",""
"N00027441","Bob Corker (R-Tenn)","19118035","89720000","54419017","2013","S","Center for Responsive Politics",""
"N00029441","James E. Risch (R-Idaho)","19188056","88072998","53630527","2013","S","Center for Responsive Politics",""
"N00031127","Jim Renacci (R-Ohio)","29231622","74792000","52011811","2013","H","Center for Responsive Politics",""
"N00036155","Thomas MacArthur (R-NJ)","7252194","91370999","49311596","2013","H","Center for Responsive Politics",""
"N00000684","Rodney Frelinghuysen (R-NJ)","22195181","75502000","48848590","2013","H","Center for Responsive Politics",""
"N00036018","Don Beyer (D-VA)","16652035","80779993","48716014","2013","H","Center for Responsive Politics",""
"N00034044","Joe Kennedy III (D-Mass)","20591238","71811997","46201617","2013","H","Center for Responsive Politics",""
"N00030602","Roger Williams (R-Texas)","15257032","75169995","45213513","2013","H","Center for Responsive Politics",""
"N00031539","Diane Black (R-Tenn)","-22508912","106340000","41915544","2013","H","Center for Responsive Politics",""
"N00004426","Tom Petri (R-Wis)","15241024","68314999","41778011","2013","H","Center for Responsive Politics",""
"N00013817","Chellie Pingree (D-Maine)","34470065","45451027","39960546","2013","H","Center for Responsive Politics",""
"N00031688","John Hoeven (R-ND)","11156072","66174999","38665535","2013","S","Center for Responsive Politics",""
"N00032546","Ron Johnson (R-Wis)","13516014","60165000","36840507","2013","S","Center for Responsive Politics",""
"N00006423","Trent Franks (R-Ariz)","11100004","55250000","33175002","2013","H","Center for Responsive Politics",""
"N00030962","Scott Rigell (R-Va)","12789057","53437000","33113028","2013","H","Center for Responsive Politics",""
"N00004133","Fred Upton (R-Mich)","13673197","51320000","32496598","2013","H","Center for Responsive Politics",""
"N00001024","Nita M. Lowey (D-NY)","12280023","51650000","31965011","2013","H","Center for Responsive Politics",""
"N00035516","David Perdue (R-GA)","16444214","46896999","31670606","2013","S","Center for Responsive Politics",""
"N00003389","Mitch McConnell (R-Ky)","11972053","48832000","30402026","2013","S","Center for Responsive Politics",""
"N00029617","Kay R. Hagan (D-NC)","-2725307","60740969","29007831","2013","S","Center for Responsive Politics",""
"N00029679","John Fleming (R-La)","10218065","46226997","28222531","2013","H","Center for Responsive Politics",""
"N00030197","Richard Hanna (R-NY)","15292169","40735000","28013584","2013","H","Center for Responsive Politics",""
"N00035854","Curt Clawson (R-Fla)","13113153","39505998","26309575","2013","H","Center for Responsive Politics",""
"N00027565","John Campbell (R-Calif)","10212028","41781000","25996514","2013","H","Center for Responsive Politics",""
"N99999893","Jason Furman","9348021","40045000","24696510","2013","E","Center for Responsive Politics",""
"N00034584","Bruce Poliquin (R-ME)","9971063","37690001","23830532","2013","H","Center for Responsive Politics",""
"N00027694","Claire McCaskill (D-Mo)","17799204","29021010","23410107","2013","S","Center for Responsive Politics",""
"N00004291","F. James Sensenbrenner Jr (R-Wis)","19600018","26974964","23287491","2013","H","Center for Responsive Politics",""
"N00006023","Lloyd Doggett (D-Texas)","11264064","34009999","22637031","2013","H","Center for Responsive Politics",""
"N00002593","Johnny Isakson (R-Ga)","8920023","36142000","22531011","2013","S","Center for Responsive Politics",""
"N00009888","Lamar Alexander (R-Tenn)","7502052","37219996","22361024","2013","S","Center for Responsive Politics",""
"N00012672","Steve Pearce (R-NM)","7718015","36646000","22182007","2013","H","Center for Responsive Politics",""
"N00000078","Carolyn B. Maloney (D-NY)","2728020","41595997","22162008","2013","H","Center for Responsive Politics",""
"N00035593","Vance McAllister (R-La)","6891032","37076995","21984013","2013","H","Center for Responsive Politics",""
"N00033101","Brad Schneider (D-Ill)","11678631","32203000","21940815","2013","H","Center for Responsive Politics",""
"N00006424","John McCain (R-Ariz)","14419155","26770001","20594578","2013","S","Center for Responsive Politics",""
"N00033054","Steven Daines (R-Mont)","7937090","32737083","20337086","2013","S","Center for Responsive Politics",""
"N00033720","Richard W. Allen (R-GA)","6723018","32420998","19572008","2013","H","Center for Responsive Politics",""
"N00034416","Robert Pittenger (R-NC)","6725054","31875999","19300526","2013","H","Center for Responsive Politics",""
"N00028073","John A. Yarmuth (D-Ky)","5808049","32694998","19251523","2013","H","Center for Responsive Politics",""
"N00029139","Bill Foster (D-Ill)","7416020","30165000","18790510","2013","H","Center for Responsive Politics",""
"N00029018","Tom Rooney (R-Fla)","7583220","29935748","18759484","2013","H","Center for Responsive Politics",""
"N00004207","Tom Harkin (D-Iowa)","11942111","24486002","18214056","2013","S","Center for Responsive Politics",""
"N00035346","Buddy Carter (R-GA)","10489671","24739659","17614665","2013","H","Center for Responsive Politics",""
"N00031647","Mike Kelly (R-Pa)","8510149","26080000","17295074","2013","H","Center for Responsive Politics",""
"N00003682","Rob Portman (R-Ohio)","8599121","25137000","16868060","2013","S","Center for Responsive Politics",""
